Date,Time,"Input Source","Output Destination","Job Information","Page Information",Pages,Sheets,"Job Status","Job Hierarchy","Job Number"
28/03/2024,9:40:24,Scanner,SMB:\\10.30.3.24\hrdscan\img-328093936.pdf,PDF:JPEG,Color,"     3",,Completed,,6a0d5508-ecac-11ee-8000-080037af719a
28/03/2024,9:38:45,Scanner,SMB:\\10.30.3.24\hrdscan\img-328093809.pdf,PDF:JPEG,Color,"     3",,Completed,,368d5505-ecac-11ee-8000-080037af719a
28/03/2024,9:36:53,Scanner,SMB:\\10.30.3.24\hrdscan\img-328093552.pdf,PDF:JPEG,Color,"     3",,Completed,,e48d5502-ecab-11ee-8000-080037af719a
28/03/2024,9:35:13,Scanner,SMB:\\10.30.3.24\hrdscan\img-328093507.pdf,PDF:JPEG,Color,"     1",,Completed,,ca0d54ff-ecab-11ee-8000-080037af719a
28/03/2024,9:26:41,Scanner,SMB:\\10.30.3.24\hrdscan\img-328091004.pdf,PDF:JPEG,Color,"     1",,Completed,,4a0d54fc-eca8-11ee-8000-080037af719a
28/03/2024,9:09:47,Scanner,SMB:\\10.30.3.24\hrdscan\img-328090941.pdf,PDF:JPEG,Color,"     1",,Completed,,3c8d54f9-eca8-11ee-8000-080037af719a
28/03/2024,9:09:17,Scanner,SMB:\\10.30.3.24\hrdscan\img-328090848.pdf,PDF:JPEG,Color,"     2",,Completed,,1c8d54f6-eca8-11ee-8000-080037af719a
28/03/2024,9:08:23,Scanner,SMB:\\10.30.3.24\hrdscan\img-328090756.pdf,PDF:JPEG,Color,"     2",,Completed,,fd8d54f3-eca7-11ee-8000-080037af719a
28/03/2024,9:07:28,Scanner,SMB:\\10.30.3.24\hrdscan\img-328090707.pdf,PDF:JPEG,Color,"     2",,Completed,,e08d54f0-eca7-11ee-8000-080037af719a
28/03/2024,9:06:59,Scanner,,,,"     0",,Deleted,,d90d54ed-eca7-11ee-8000-080037af719a
28/03/2024,9:06:28,Scanner,SMB:\\10.30.3.24\hrdscan\img-328090622.pdf,PDF:JPEG,Color,"     1",,Completed,,c58d54ea-eca7-11ee-8000-080037af719a
28/03/2024,8:48:53,"LPD:DESKTOP-E6TPOVN:rangga ario:DATA PEMINJAMAN LAPTOP.xlsx - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,468d54e7-eca5-11ee-8000-080037af719a
28/03/2024,7:38:39,Scanner,SMB:\\10.30.3.24\ssprscan\img-328073826.pdf,PDF:JPEG,Color,"     5",,Completed,,7d0d54e4-ec9b-11ee-8000-080037af719a
28/03/2024,7:38:21,Scanner,SMB:\\10.30.3.24\ssprscan\img-328073756.pdf,PDF:JPEG,Color,"    10",,Completed,,6b0d54e1-ec9b-11ee-8000-080037af719a
28/03/2024,7:24:12,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,7d0d54e0-ec99-11ee-8000-080037af719a
28/03/2024,7:23:12,"LPD:SPM-PCN-015:utami:Sales Document - Test","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,580d54dd-ec99-11ee-8000-080037af719a
28/03/2024,7:22:06,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,318d54dc-ec99-11ee-8000-080037af719a
28/03/2024,7:17:50,LPD:SPM-PCN-015:utami:Invoice,"Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,8d8d54d9-ec98-11ee-8000-080037af719a
27/03/2024,16:25:05,"LPD:SPM-PCN-138:natasya:Untitled document - Google Docs","Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","     2","     1",Completed,,440d54cd-ec0c-11ee-8000-080037af719a
27/03/2024,16:25:01,"LPD:SPM-PCN-138:Bayu:Laporan Keuangan Valentine’s day Event - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,ec0d54c4-ec06-11ee-8000-080037af719a
27/03/2024,16:07:33,Scanner,SMB:\\10.30.3.24\publicscan\img-327160728.pdf,PDF:MMR,"Black & White","     1",,Completed,,6f0d54d6-ec19-11ee-8000-080037af719a
27/03/2024,16:07:25,Scanner,SMB:\\10.30.3.24\publicscan\img-327160714.pdf,PDF:MMR,"Black & White","     1",,Completed,,668d54d3-ec19-11ee-8000-080037af719a
27/03/2024,16:05:03,"LPD:ACER:rina.yuliana:Purchase Order",,"1 Pages Up:TIFF / JPEG Auto Select",,,"     0","Completed with error(016-757):Auditron - Invalid User",,180d54d0-ec19-11ee-8000-080037af719a
27/03/2024,13:56:48,Scanner,SMB:\\10.30.3.24\publicscan\img-327135642.pdf,PDF:JPEG,Color,"     1",,Completed,,2a8d54ca-ec07-11ee-8000-080037af719a
27/03/2024,13:56:43,Scanner,SMB:\\10.30.3.24\publicscan\img-327135637.pdf,PDF:JPEG,Color,"     1",,Completed,,278d54c7-ec07-11ee-8000-080037af719a
27/03/2024,13:54:17,"LPD:SPM-PCN-138:sharing:Laporan Keuangan Valentine’s day Event - Google Docs",,"TIFF / JPEG Auto Select",,,"     0",Shutdown,,560d54c1-ec06-11ee-8000-080037af719a
27/03/2024,13:54:17,"LPD:SPM-PCN-138:sharing:Laporan Keuangan Valentine’s day Event - Google Docs",,"TIFF / JPEG Auto Select",,,"     0",Shutdown,,2f8d54be-ec06-11ee-8000-080037af719a
27/03/2024,13:49:38,"LPD:COE-00193:Johana:Holiday Practice 1 Atomic Structure.docx - Google Docs","Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","    11","     6",Shutdown,,1e0d54bb-ec06-11ee-8000-080037af719a
27/03/2024,13:37:04,"LPD:SPM-PCN-079:ratna:WhatsApp Image 2024-03-26 at 9.27.51 PM","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     1","     1",Completed,,650d54b8-ec04-11ee-8000-080037af719a
27/03/2024,13:35:48,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,3c0d54b7-ec04-11ee-8000-080037af719a
27/03/2024,13:35:31,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,328d54b6-ec04-11ee-8000-080037af719a
27/03/2024,13:35:00,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,1f8d54b5-ec04-11ee-8000-080037af719a
27/03/2024,13:24:30,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,a80d54b4-ec02-11ee-8000-080037af719a
27/03/2024,13:19:05,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,e58d54b3-ec01-11ee-8000-080037af719a
27/03/2024,13:16:26,"LPD:SPM-PCN-015:utami:Screenshot_20240327-131439_WhatsAppBusiness (1)","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,860d54b0-ec01-11ee-8000-080037af719a
27/03/2024,13:15:49,LPD:SPM-PCN-015:utami:Screenshot_20240327-124713_WhatsAppBusiness,"Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,700d54ad-ec01-11ee-8000-080037af719a
27/03/2024,13:15:21,LPD:SPM-PCN-015:utami:Screenshot_20240327-131513_WhatsAppBusiness,"Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,5f8d54aa-ec01-11ee-8000-080037af719a
27/03/2024,13:14:31,LPD:SPM-PCN-015:utami:Screenshot_20240327-124713_WhatsAppBusiness,"Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,408d54a7-ec01-11ee-8000-080037af719a
27/03/2024,13:02:40,"LPD:SPM-PCN-015:utami:Sales Document - Test","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,9a0d54a4-ebff-11ee-8000-080037af719a
27/03/2024,12:39:46,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,688d54a3-ebfc-11ee-8000-080037af719a
27/03/2024,12:39:31,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,5f0d54a2-ebfc-11ee-8000-080037af719a
27/03/2024,12:37:52,"LPD:SPM-PCN-015:utami:Sales Document - Test","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,220d549f-ebfc-11ee-8000-080037af719a
27/03/2024,12:27:40,LPD:SPM-PCN-015:utami:Invoice,"Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,b48d549c-ebfa-11ee-8000-080037af719a
27/03/2024,12:27:36,"LPD:SPM-PCN-138:Elfrida:CamScanner 03-27-2024 11.39","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     1","     1",Completed,,9a0d5499-ebfa-11ee-8000-080037af719a
27/03/2024,11:48:05,"LPD:ACER:rina.yuliana:Purchase Order",,"1 Pages Up:TIFF / JPEG Auto Select",,,"     0","Completed with error(016-757):Auditron - Invalid User",,328d5496-ebf5-11ee-8000-080037af719a
27/03/2024,11:35:09,LPD:DESKTOP-ISCGHF9:Jurio:606259117-Cambridge-Primary-Checkpoint-Mathematics0845Past-Paper,"Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","   256","   128",Completed,,140d5493-ebf2-11ee-8000-080037af719a
27/03/2024,11:12:36,Scanner,SMB:\\10.30.3.24\publicscan\img-327111159.pdf,PDF:JPEG,Color,"     3",,Completed,,278d5490-ebf0-11ee-8000-080037af719a
27/03/2024,11:11:37,Scanner,SMB:\\10.30.3.24\publicscan\img-327111114.pdf,PDF:JPEG,Color,"     1",,Completed,,0d0d548d-ebf0-11ee-8000-080037af719a
27/03/2024,10:37:27,Scanner,SMB:\\10.30.3.24\ssprscan\img-327103718.pdf,PDF:JPEG,Color,"     2",,Completed,,4f8d548a-ebeb-11ee-8000-080037af719a
27/03/2024,10:36:24,"LPD:ARIF:Arif:Untitled document - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     5","     5",Completed,,278d5487-ebeb-11ee-8000-080037af719a
27/03/2024,10:34:57,"LPD:DESKTOP-E6TPOVN:rangga ario:Microsoft Word - Berita Acara Serah Terima Pekerjaan","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,f78d5484-ebea-11ee-8000-080037af719a
27/03/2024,10:33:45,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     2","     2",Completed,,cc0d5481-ebea-11ee-8000-080037af719a
27/03/2024,10:33:29,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,c40d5480-ebea-11ee-8000-080037af719a
27/03/2024,10:32:48,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     2","     2",Completed,,aa0d547d-ebea-11ee-8000-080037af719a
27/03/2024,10:32:09,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     4","     4",Completed,,920d547a-ebea-11ee-8000-080037af719a
27/03/2024,10:31:53,Scanner,SMB:\\10.30.3.24\hrdscan\img-327103143.pdf,PDF:JPEG,Color,"     4",,Completed,,878d5477-ebea-11ee-8000-080037af719a
27/03/2024,10:31:25,Scanner,SMB:\\10.30.3.24\hrdscan\img-327103118.pdf,PDF:JPEG,Color,"     2",,Completed,,790d5474-ebea-11ee-8000-080037af719a
27/03/2024,10:30:30,Scanner,SMB:\\10.30.3.24\hrdscan\img-327102948.pdf,PDF:JPEG,Color,"     4",,Completed,,430d5471-ebea-11ee-8000-080037af719a
27/03/2024,10:12:43,Scanner,SMB:\\10.30.3.24\ssprscan\img-327101234.pdf,PDF:JPEG,Color,"     1",,Completed,,db0d546e-ebe7-11ee-8000-080037af719a
27/03/2024,10:04:08,"LPD:SPM-PCN-079:fany:Surat Visa Sean Dante - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,a80d546b-ebe6-11ee-8000-080037af719a
27/03/2024,10:03:41,"LPD:SPM-PCN-079:fany:Surat Visa Sean Dante - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,978d5468-ebe6-11ee-8000-080037af719a
27/03/2024,10:03:15,"LPD:SPM-PCN-079:fany:Surat Visa Sean Dante - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,880d5465-ebe6-11ee-8000-080037af719a
27/03/2024,10:00:07,Scanner,SMB:\\10.30.3.24\publicscan\img-327100002\img-327100002-0001.jpg,"TIFF / JPEG Auto Select:JPEG",Color,"     1",,Completed,,1a8d5462-ebe6-11ee-8000-080037af719a
27/03/2024,9:56:46,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 7.doc - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,a10d545f-ebe5-11ee-8000-080037af719a
27/03/2024,9:49:00,Scanner,SMB:\\10.30.3.24\publicscan\img-327094855\img-327094855-0001.jpg,"TIFF / JPEG Auto Select:JPEG",Color,"     1",,Completed,,8d0d545c-ebe4-11ee-8000-080037af719a
27/03/2024,9:48:54,Scanner,SMB:\\10.30.3.24\publicscan\img-327094849\img-327094849-0001.jpg,"TIFF / JPEG Auto Select:JPEG",Color,"     1",,Completed,,898d5459-ebe4-11ee-8000-080037af719a
27/03/2024,9:48:46,Scanner,SMB:\\10.30.3.24\publicscan\img-327094841\img-327094841-0001.jpg,"TIFF / JPEG Auto Select:JPEG",Color,"     1",,Completed,,848d5456-ebe4-11ee-8000-080037af719a
27/03/2024,9:48:25,Scanner,,,,"     0",,Deleted,,730d5453-ebe4-11ee-8000-080037af719a
27/03/2024,9:47:00,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 8.doc - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,438d5450-ebe4-11ee-8000-080037af719a
27/03/2024,9:46:22,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 9.docx - Google Docs","Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","     2","     1",Completed,,2b8d544d-ebe4-11ee-8000-080037af719a
27/03/2024,9:45:11,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 10.docx - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,020d544a-ebe4-11ee-8000-080037af719a
27/03/2024,9:44:36,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 11.docx - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,ee0d5447-ebe3-11ee-8000-080037af719a
27/03/2024,9:44:11,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 12.docx - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,de8d5444-ebe3-11ee-8000-080037af719a
27/03/2024,9:42:36,"LPD:SPM-PCN-138:Bayu:Soal Rebutan.docx - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,a68d5441-ebe3-11ee-8000-080037af719a
27/03/2024,9:41:50,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 3.doc - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,8a8d543e-ebe3-11ee-8000-080037af719a
27/03/2024,9:41:09,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 1.doc - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,728d543b-ebe3-11ee-8000-080037af719a
27/03/2024,9:40:40,"LPD:SPM-PCN-138:Bayu:Soal kuis untuk kelas 2.doc - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,608d5438-ebe3-11ee-8000-080037af719a
27/03/2024,9:39:47,Scanner,SMB:\\10.30.3.24\publicscan\img-327093939.pdf,PDF:JPEG,Color,"     2",,Completed,,418d5435-ebe3-11ee-8000-080037af719a
27/03/2024,9:25:13,Scanner,SMB:\\10.30.3.24\publicscan\img-327092507.pdf,PDF:JPEG,Color,"     1",,Completed,,3a0d5432-ebe1-11ee-8000-080037af719a
27/03/2024,9:24:42,Scanner,SMB:\\10.30.3.24\publicscan\img-327092436.pdf,PDF:JPEG,Color,"     1",,Completed,,278d542f-ebe1-11ee-8000-080037af719a
27/03/2024,9:24:17,Scanner,SMB:\\10.30.3.24\publicscan\img-327092412.pdf,PDF:JPEG,Color,"     1",,Completed,,190d542c-ebe1-11ee-8000-080037af719a
27/03/2024,9:23:57,Scanner,SMB:\\10.30.3.24\publicscan\img-327092351.pdf,PDF:JPEG,Color,"     1",,Completed,,0c8d5429-ebe1-11ee-8000-080037af719a
27/03/2024,9:11:02,"LPD:ACER:rina.yuliana:Purchase Order",,"1 Pages Up:TIFF / JPEG Auto Select",,,"     0","Completed with error(016-757):Auditron - Invalid User",,420d5426-ebdf-11ee-8000-080037af719a
27/03/2024,9:00:43,Scanner,SMB:\\10.30.3.24\procurement2022\img-327085846.pdf,PDF:JPEG,Color,"     8",,Completed,,8b8d5423-ebdd-11ee-8000-080037af719a
27/03/2024,8:58:03,"LPD:SPM-PCN-079:ratna:Olimpiade Sains Nasional Tingkat Kabupaten_Kota","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     3","     3",Completed,,6d0d5420-ebdd-11ee-8000-080037af719a
27/03/2024,8:57:53,Scanner,SMB:\\10.30.3.24\procurement2022\img-327085552.pdf,PDF:JPEG,Color,"     9",,Completed,,240d541d-ebdd-11ee-8000-080037af719a
27/03/2024,8:35:35,"LPD:SPM-PCN-079:ratna:Surat Visa Sean Dante - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,490d541a-ebda-11ee-8000-080037af719a
27/03/2024,8:27:38,Scanner,SMB:\\10.30.3.24\publicscan\img-327082733.pdf,PDF:JPEG,Color,"     1",,Completed,,2f0d5417-ebd9-11ee-8000-080037af719a
27/03/2024,8:27:24,Scanner,SMB:\\10.30.3.24\publicscan\img-327082718.pdf,PDF:JPEG,Color,"     1",,Completed,,260d5414-ebd9-11ee-8000-080037af719a
27/03/2024,8:12:30,"LPD:SPM-PCN-079:fany:Surat Visa Sean Dante - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,070d5411-ebd7-11ee-8000-080037af719a
27/03/2024,7:19:02,"LPD:ARIF:Arif:PE 2024 - Teacher JHSH - Arif Sapta D. - Google Sheets","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,980d540e-ebcf-11ee-8000-080037af719a
27/03/2024,7:17:26,"LPD:ARIF:Arif:PE 2024 - Teacher JHSH - Arif Sapta D. - Google Sheets","Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","     2","     1",Completed,,5c0d540b-ebcf-11ee-8000-080037af719a
27/03/2024,7:15:34,"LPD:ARIF:Arif:SPM Formal Observation - Pak Arif Sociology G9 - Google Docs","Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","     2","     1",Completed,,088d5408-ebcf-11ee-8000-080037af719a
26/03/2024,15:31:07,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","    20","    20",Completed,,1e0d5405-eb4b-11ee-8000-080037af719a
26/03/2024,15:26:24,"LPD:DESKTOP-D0612KD:Deborah:Cahpel 3R1D - WORD SEARCH 1 - 27 Mar 24 - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,830d5402-eb4a-11ee-8000-080037af719a
26/03/2024,14:57:42,"LPD:SPM-PCN-079:ratna:Label Meja Cambridge 2024 - Google Docs","Center Tray","1 Pages Up:1 Sided:PCL6",Color:A4:Plain:White,"     5","     5",Completed,,d18d53ff-eb45-11ee-8000-080037af719a
26/03/2024,14:41:44,Scanner,SMB:\\10.30.3.24\publicscan\img-326144138.pdf,PDF:MMR,"Black & White","     1",,Completed,,470d53fc-eb44-11ee-8000-080037af719a
26/03/2024,14:41:36,Scanner,SMB:\\10.30.3.24\publicscan\img-326144131.pdf,PDF:MMR,"Black & White","     1",,Completed,,430d53f9-eb44-11ee-8000-080037af719a
26/03/2024,14:38:27,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,d20d53f8-eb43-11ee-8000-080037af719a
26/03/2024,14:38:04,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,c48d53f7-eb43-11ee-8000-080037af719a
26/03/2024,14:37:39,Scanner,"Center Tray","1 Sided","Black & White:A4:Plain:White","     1","     1",Completed,,b50d53f6-eb43-11ee-8000-080037af719a
26/03/2024,14:34:27,"LPD:SPM-PCN-079:rangga ario:HR_Out of School Assignment Form_Pak Rachmat.xlsx","Center Tray","1 Pages Up:1 Sided:PCL6","Black & White:A4:Plain:White","     1","     1",Completed,,420d53f3-eb43-11ee-8000-080037af719a
26/03/2024,14:33:12,"LPD:COE-00193:Johana:Sifat Koligatif larutan 26 Maret 2024 - Google Docs","Center Tray","1 Pages Up:2 Sided:PCL6","Black & White:A4:Plain:White","    27","    15",Completed,,fb8d53f0-eb42-11ee-8000-080037af719a
